timestep,metrics,total_pos_label
2,"[('Accuracy', 0.9838854073410922), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9838854073410922), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1099, 0, 18, 0)), ('ROC AUC', 0.5260843190779497), ('AUCPR', 0.02477422795596419)]",18
3,"[('Accuracy', 0.9929632525410477), ('Precision', 1.0), ('Recall', 0.18181818181818182), ('F1 Score', 0.3076923076923077), ('Specificity', 1.0), ('NPV', 0.9929522317932654), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.42489618663499135), ('Confusion Matrix', (1268, 0, 9, 2)), ('ROC AUC', 0.9662675652423285), ('AUCPR', 0.5369458489634634)]",11
4,"[('Accuracy', 0.9819444444444444), ('Precision', 0.8333333333333334), ('Recall', 0.16666666666666666), ('F1 Score', 0.2777777777777778), ('Specificity', 0.999290780141844), ('NPV', 0.9825662482566249), ('FPR', 0.0007092198581560284), ('FDR', 0.16666666666666666), ('MCC', 0.36797365586791886), ('Confusion Matrix', (1409, 1, 25, 5)), ('ROC AUC', 0.862565011820331), ('AUCPR', 0.6342711910456202)]",30
5,"[('Accuracy', 0.9946865037194474), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9989327641408752), ('NPV', 0.9957446808510638), ('FPR', 0.0010672358591248667), ('FDR', 1.0), ('MCC', -0.0021310629244030758), ('Confusion Matrix', (1872, 2, 8, 0)), ('ROC AUC', 0.7556363393810032), ('AUCPR', 0.0486089613354178)]",8
6,"[('Accuracy', 0.9896907216494846), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9896907216494846), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (480, 0, 5, 0)), ('ROC AUC', 0.576875), ('AUCPR', 0.11215571626404063)]",5
7,"[('Accuracy', 0.9168744804655029), ('Precision', 1.0), ('Recall', 0.0196078431372549), ('F1 Score', 0.038461538461538464), ('Specificity', 1.0), ('NPV', 0.9167360532889259), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.13407168504630426), ('Confusion Matrix', (1101, 0, 100, 2)), ('ROC AUC', 0.849570800163844), ('AUCPR', 0.6200358045369874)]",102
8,"[('Accuracy', 0.9759656652360515), ('Precision', 1.0), ('Recall', 0.582089552238806), ('F1 Score', 0.7358490566037735), ('Specificity', 1.0), ('NPV', 0.9751332149200711), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.7534021877098656), ('Confusion Matrix', (1098, 0, 28, 39)), ('ROC AUC', 0.9794470271592856), ('AUCPR', 0.8890339498511389)]",67
9,"[('Accuracy', 0.9537275064267352), ('Precision', 1.0), ('Recall', 0.8548387096774194), ('F1 Score', 0.9217391304347826), ('Specificity', 1.0), ('NPV', 0.9363957597173145), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8946884055268381), ('Confusion Matrix', (530, 0, 36, 212)), ('ROC AUC', 0.9832280888618381), ('AUCPR', 0.9801598218909118)]",248
10,"[('Accuracy', 0.9907407407407407), ('Precision', 0.7368421052631579), ('Recall', 0.7777777777777778), ('F1 Score', 0.7567567567567567), ('Specificity', 0.9947589098532494), ('NPV', 0.9958027282266527), ('FPR', 0.005241090146750524), ('FDR', 0.2631578947368421), ('MCC', 0.7523264004899759), ('Confusion Matrix', (949, 5, 4, 14)), ('ROC AUC', 0.9339040298159794), ('AUCPR', 0.7902755289390164)]",18
11,"[('Accuracy', 0.9755747126436781), ('Precision', 1.0), ('Recall', 0.8702290076335878), ('F1 Score', 0.9306122448979592), ('Specificity', 1.0), ('NPV', 0.9707903780068728), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9191354346738877), ('Confusion Matrix', (565, 0, 17, 114)), ('ROC AUC', 0.9961629399446058), ('AUCPR', 0.9888188078232537)]",131
