timestep,metrics,total_pos_label
2,"[('Accuracy', 0.9838854073410922), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9838854073410922), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1099, 0, 18, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.01611459265890779)]",18
3,"[('Accuracy', 0.9913995308835027), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9913995308835027), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1268, 0, 11, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.008600469116497263)]",11
4,"[('Accuracy', 0.9791666666666666), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9791666666666666), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1410, 0, 30, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.020833333333333332)]",30
5,"[('Accuracy', 0.9957492029755579), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9957492029755579), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1874, 0, 8, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.004250797024442083)]",8
6,"[('Accuracy', 0.9896907216494846), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9896907216494846), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (480, 0, 5, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.010309278350515464)]",5
7,"[('Accuracy', 0.9152119700748129), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9152119700748129), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1101, 0, 102, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.08478802992518704)]",102
8,"[('Accuracy', 0.9424892703862661), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9424892703862661), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1098, 0, 67, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.05751072961373391)]",67
9,"[('Accuracy', 0.6812339331619537), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.6812339331619537), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (530, 0, 248, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.31876606683804626)]",248
10,"[('Accuracy', 0.9814814814814815), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9814814814814815), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (954, 0, 18, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.018518518518518517)]",18
11,"[('Accuracy', 0.8117816091954023), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8117816091954023), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (565, 0, 131, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.1882183908045977)]",131
12,"[('Accuracy', 0.9683794466403162), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9683794466403162), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (490, 0, 16, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.03162055335968379)]",16
13,"[('Accuracy', 0.6402966625463535), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.6402966625463535), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (518, 0, 291, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.35970333745364647)]",291
14,"[('Accuracy', 0.8968824940047961), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8968824940047961), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (374, 0, 43, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.10311750599520383)]",43
15,"[('Accuracy', 0.7621359223300971), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.7621359223300971), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (471, 0, 147, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.23786407766990292)]",147
16,"[('Accuracy', 0.7584905660377359), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.7584905660377359), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (402, 0, 128, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.24150943396226415)]",128
17,"[('Accuracy', 0.8779284833538841), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8779284833538841), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (712, 0, 99, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.1220715166461159)]",99
