timestep,metrics,total_pos_label
2,"[('Accuracy', 0.9955237242614146), ('Precision', 1.0), ('Recall', 0.7222222222222222), ('F1 Score', 0.8387096774193548), ('Specificity', 1.0), ('NPV', 0.9954710144927537), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8479099529105473), ('Confusion Matrix', (1099, 0, 5, 13)), ('ROC_AUC', 0.45940754221008995), ('AUCPR', 0.015121506683647114)]",18
3,"[('Accuracy', 0.9960906958561376), ('Precision', 0.875), ('Recall', 0.6363636363636364), ('F1 Score', 0.7368421052631579), ('Specificity', 0.999211356466877), ('NPV', 0.996852871754524), ('FPR', 0.0007886435331230284), ('FDR', 0.125), ('MCC', 0.7443976643667308), ('Confusion Matrix', (1267, 1, 4, 7)), ('ROC_AUC', 0.6033839977057642), ('AUCPR', 0.018417666089497825)]",11
4,"[('Accuracy', 0.9958333333333333), ('Precision', 1.0), ('Recall', 0.8), ('F1 Score', 0.888888888888889), ('Specificity', 1.0), ('NPV', 0.9957627118644068), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8925302064868872), ('Confusion Matrix', (1410, 0, 6, 24)), ('ROC_AUC', 0.5158156028368794), ('AUCPR', 0.02496453116331627)]",30
5,"[('Accuracy', 0.9968119022316685), ('Precision', 1.0), ('Recall', 0.25), ('F1 Score', 0.4), ('Specificity', 1.0), ('NPV', 0.9968085106382979), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.4992014900414205), ('Confusion Matrix', (1874, 0, 6, 2)), ('ROC_AUC', 0.5233457844183564), ('AUCPR', 0.0057121726485412794)]",8
6,"[('Accuracy', 0.9567010309278351), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9666666666666667), ('NPV', 0.9893390191897654), ('FPR', 0.03333333333333333), ('FDR', 1.0), ('MCC', -0.018851154527185277), ('Confusion Matrix', (464, 16, 5, 0)), ('ROC_AUC', 0.53625), ('AUCPR', 0.01768518209104715)]",5
7,"[('Accuracy', 0.9260182876142976), ('Precision', 0.8421052631578947), ('Recall', 0.1568627450980392), ('F1 Score', 0.2644628099173554), ('Specificity', 0.997275204359673), ('NPV', 0.9273648648648649), ('FPR', 0.0027247956403269754), ('FDR', 0.15789473684210525), ('MCC', 0.3443901097627391), ('Confusion Matrix', (1098, 3, 86, 16)), ('ROC_AUC', 0.5146123844633221), ('AUCPR', 0.08873840257874559)]",102
8,"[('Accuracy', 0.9545064377682403), ('Precision', 0.9375), ('Recall', 0.22388059701492538), ('F1 Score', 0.3614457831325301), ('Specificity', 0.9990892531876139), ('NPV', 0.9547432550043516), ('FPR', 0.0009107468123861566), ('FDR', 0.0625), ('MCC', 0.44603065467806835), ('Confusion Matrix', (1097, 1, 52, 15)), ('ROC_AUC', 0.45012641709485357), ('AUCPR', 0.05013820990459126)]",67
9,"[('Accuracy', 0.3213367609254499), ('Precision', 0.31958762886597936), ('Recall', 1.0), ('F1 Score', 0.48437499999999994), ('Specificity', 0.0037735849056603774), ('NPV', 1.0), ('FPR', 0.9962264150943396), ('FDR', 0.6804123711340206), ('MCC', 0.03472738188122523), ('Confusion Matrix', (2, 528, 0, 248)), ('ROC_AUC', 0.017566950699939132), ('AUCPR', 0.18195772649538133)]",248
10,"[('Accuracy', 0.0205761316872428), ('Precision', 0.018556701030927835), ('Recall', 1.0), ('F1 Score', 0.03643724696356276), ('Specificity', 0.0020964360587002098), ('NPV', 1.0), ('FPR', 0.9979035639412998), ('FDR', 0.9814432989690721), ('MCC', 0.006237221911376608), ('Confusion Matrix', (2, 952, 0, 18)), ('ROC_AUC', 0.01304449103191242), ('AUCPR', 0.009898693054151269)]",18
11,"[('Accuracy', 0.1910919540229885), ('Precision', 0.18876080691642652), ('Recall', 1.0), ('F1 Score', 0.31757575757575757), ('Specificity', 0.0035398230088495575), ('NPV', 1.0), ('FPR', 0.9964601769911504), ('FDR', 0.8112391930835735), ('MCC', 0.025849174986675594), ('Confusion Matrix', (2, 563, 0, 131)), ('ROC_AUC', 0.012416402080659337), ('AUCPR', 0.10215571614806285)]",131
12,"[('Accuracy', 0.03557312252964427), ('Precision', 0.031746031746031744), ('Recall', 1.0), ('F1 Score', 0.06153846153846154), ('Specificity', 0.004081632653061225), ('NPV', 1.0), ('FPR', 0.9959183673469387), ('FDR', 0.9682539682539683), ('MCC', 0.011383129612708511), ('Confusion Matrix', (2, 488, 0, 16)), ('ROC_AUC', 0.029081632653061254), ('AUCPR', 0.01723298468382875)]",16
13,"[('Accuracy', 0.3621755253399258), ('Precision', 0.36059479553903345), ('Recall', 1.0), ('F1 Score', 0.5300546448087432), ('Specificity', 0.003861003861003861), ('NPV', 1.0), ('FPR', 0.9961389961389961), ('FDR', 0.6394052044609665), ('MCC', 0.037312972246044754), ('Confusion Matrix', (2, 516, 0, 291)), ('ROC_AUC', 0.029932730963658782), ('AUCPR', 0.2103512413807398)]",291
14,"[('Accuracy', 0.1079136690647482), ('Precision', 0.10361445783132531), ('Recall', 1.0), ('F1 Score', 0.18777292576419213), ('Specificity', 0.0053475935828877), ('NPV', 1.0), ('FPR', 0.9946524064171123), ('FDR', 0.8963855421686747), ('MCC', 0.02353907410654003), ('Confusion Matrix', (2, 372, 0, 43)), ('ROC_AUC', 0.03258301206317618), ('AUCPR', 0.055550582472333764)]",43
15,"[('Accuracy', 0.24110032362459546), ('Precision', 0.23863636363636365), ('Recall', 1.0), ('F1 Score', 0.38532110091743116), ('Specificity', 0.004246284501061571), ('NPV', 1.0), ('FPR', 0.9957537154989384), ('FDR', 0.7613636363636364), ('MCC', 0.03183265449658234), ('Confusion Matrix', (2, 469, 0, 147)), ('ROC_AUC', 0.01624853763161315), ('AUCPR', 0.13188955843084346)]",147
16,"[('Accuracy', 0.24528301886792453), ('Precision', 0.24242424242424243), ('Recall', 1.0), ('F1 Score', 0.3902439024390244), ('Specificity', 0.004975124378109453), ('NPV', 1.0), ('FPR', 0.9950248756218906), ('FDR', 0.7575757575757576), ('MCC', 0.03472881740470822), ('Confusion Matrix', (2, 400, 0, 128)), ('ROC_AUC', 0.03900419776119401), ('AUCPR', 0.1351463284807423)]",128
17,"[('Accuracy', 0.12453760789149199), ('Precision', 0.12237330037082818), ('Recall', 1.0), ('F1 Score', 0.21806167400881055), ('Specificity', 0.0028089887640449437), ('NPV', 1.0), ('FPR', 0.9971910112359551), ('FDR', 0.8776266996291718), ('MCC', 0.018540367465634366), ('Confusion Matrix', (2, 710, 0, 99)), ('ROC_AUC', 0.01603109749177165), ('AUCPR', 0.06491173969925869)]",99
18,"[('Accuracy', 0.13881748071979436), ('Precision', 0.1343669250645995), ('Recall', 1.0), ('F1 Score', 0.2369020501138952), ('Specificity', 0.005934718100890208), ('NPV', 1.0), ('FPR', 0.9940652818991098), ('FDR', 0.8656330749354005), ('MCC', 0.028238799945143504), ('Confusion Matrix', (2, 335, 0, 52)), ('ROC_AUC', 0.02773339420223698), ('AUCPR', 0.07275630925620538)]",52
19,"[('Accuracy', 0.11006711409395974), ('Precision', 0.10767160161507403), ('Recall', 1.0), ('F1 Score', 0.19441069258809235), ('Specificity', 0.0030075187969924814), ('NPV', 1.0), ('FPR', 0.9969924812030075), ('FDR', 0.892328398384926), ('MCC', 0.017995120609754778), ('Confusion Matrix', (2, 663, 0, 80)), ('ROC_AUC', 0.06896616541353386), ('AUCPR', 0.0638999265422644)]",80
20,"[('Accuracy', 0.28888888888888886), ('Precision', 0.2884187082405345), ('Recall', 0.9961538461538462), ('F1 Score', 0.4473229706390328), ('Specificity', 0.0015625), ('NPV', 0.5), ('FPR', 0.9984375), ('FDR', 0.7115812917594655), ('MCC', -0.021981320039995377), ('Confusion Matrix', (1, 639, 1, 259)), ('ROC_AUC', 0.06661057692307691), ('AUCPR', 0.1697666877429183)]",260
21,"[('Accuracy', 0.15600624024961), ('Precision', 0.15492957746478872), ('Recall', 0.99), ('F1 Score', 0.2679296346414073), ('Specificity', 0.0018484288354898336), ('NPV', 0.5), ('FPR', 0.9981515711645101), ('FDR', 0.8450704225352113), ('MCC', -0.05303646015773835), ('Confusion Matrix', (1, 540, 1, 99)), ('ROC_AUC', 0.0357855822550832), ('AUCPR', 0.08476106585347207)]",100
22,"[('Accuracy', 0.08961996596710153), ('Precision', 0.08915388983532084), ('Recall', 0.9936708860759493), ('F1 Score', 0.16362688900468997), ('Specificity', 0.0006230529595015577), ('NPV', 0.5), ('FPR', 0.9993769470404984), ('FDR', 0.9108461101646792), ('MCC', -0.04841810561812084), ('Confusion Matrix', (1, 1604, 1, 157)), ('ROC_AUC', 0.02308844986001029), ('AUCPR', 0.04761585498171517)]",158
